"DT_GRANDE_PREMIO","ano","mes","dia"
"1950-05-13","1950","05","13"
"1950-05-21","1950","05","21"
"1950-05-30","1950","05","30"
"1950-06-04","1950","06","04"
"1950-06-18","1950","06","18"
"1950-07-02","1950","07","02"
"1950-09-03","1950","09","03"
"1951-05-27","1951","05","27"
"1951-05-30","1951","05","30"
"1951-06-17","1951","06","17"
"1951-07-01","1951","07","01"
"1951-07-14","1951","07","14"
"1951-07-29","1951","07","29"
"1951-09-16","1951","09","16"
"1951-10-28","1951","10","28"
"1952-05-18","1952","05","18"
"1952-05-30","1952","05","30"
"1952-06-22","1952","06","22"
"1952-07-06","1952","07","06"
"1952-07-19","1952","07","19"
"1952-08-03","1952","08","03"
"1952-08-17","1952","08","17"
"1952-09-07","1952","09","07"
"1953-01-18","1953","01","18"
"1953-05-30","1953","05","30"
"1953-06-07","1953","06","07"
"1953-06-21","1953","06","21"
"1953-07-05","1953","07","05"
"1953-07-18","1953","07","18"
"1953-08-02","1953","08","02"
"1953-08-23","1953","08","23"
"1953-09-13","1953","09","13"
"1954-01-17","1954","01","17"
"1954-05-31","1954","05","31"
"1954-06-20","1954","06","20"
"1954-07-04","1954","07","04"
"1954-07-17","1954","07","17"
"1954-08-01","1954","08","01"
"1954-08-22","1954","08","22"
"1954-09-05","1954","09","05"
"1954-10-24","1954","10","24"
"1955-01-16","1955","01","16"
"1955-05-22","1955","05","22"
"1955-05-30","1955","05","30"
"1955-06-05","1955","06","05"
"1955-06-19","1955","06","19"
"1955-07-16","1955","07","16"
"1955-09-11","1955","09","11"
"1956-01-22","1956","01","22"
"1956-05-13","1956","05","13"
"1956-05-30","1956","05","30"
"1956-06-03","1956","06","03"
"1956-07-01","1956","07","01"
"1956-07-14","1956","07","14"
"1956-08-05","1956","08","05"
"1956-09-02","1956","09","02"
"1957-01-13","1957","01","13"
"1957-05-19","1957","05","19"
"1957-05-30","1957","05","30"
"1957-07-07","1957","07","07"
"1957-07-20","1957","07","20"
"1957-08-04","1957","08","04"
"1957-08-18","1957","08","18"
"1957-09-08","1957","09","08"
"1958-01-19","1958","01","19"
"1958-05-18","1958","05","18"
"1958-05-26","1958","05","26"
"1958-05-30","1958","05","30"
"1958-06-15","1958","06","15"
"1958-07-06","1958","07","06"
"1958-07-19","1958","07","19"
"1958-08-03","1958","08","03"
"1958-08-24","1958","08","24"
"1958-09-07","1958","09","07"
"1958-10-19","1958","10","19"
"1959-05-10","1959","05","10"
"1959-05-30","1959","05","30"
"1959-05-31","1959","05","31"
"1959-07-05","1959","07","05"
"1959-07-18","1959","07","18"
"1959-08-02","1959","08","02"
"1959-08-23","1959","08","23"
"1959-09-13","1959","09","13"
"1959-12-12","1959","12","12"
"1960-02-07","1960","02","07"
"1960-05-29","1960","05","29"
"1960-05-30","1960","05","30"
"1960-06-06","1960","06","06"
"1960-06-19","1960","06","19"
"1960-07-03","1960","07","03"
"1960-07-16","1960","07","16"
"1960-08-14","1960","08","14"
"1960-09-04","1960","09","04"
"1960-11-20","1960","11","20"
"1961-05-14","1961","05","14"
"1961-05-22","1961","05","22"
"1961-06-18","1961","06","18"
"1961-07-02","1961","07","02"
"1961-07-15","1961","07","15"
"1961-08-06","1961","08","06"
"1961-09-10","1961","09","10"
"1961-10-08","1961","10","08"
"1962-05-20","1962","05","20"
"1962-06-03","1962","06","03"
"1962-06-17","1962","06","17"
"1962-07-08","1962","07","08"
"1962-07-21","1962","07","21"
"1962-08-05","1962","08","05"
"1962-09-16","1962","09","16"
"1962-10-07","1962","10","07"
"1962-12-29","1962","12","29"
"1963-05-26","1963","05","26"
"1963-06-09","1963","06","09"
"1963-06-23","1963","06","23"
"1963-06-30","1963","06","30"
"1963-07-20","1963","07","20"
"1963-08-04","1963","08","04"
"1963-09-08","1963","09","08"
"1963-10-06","1963","10","06"
"1963-10-27","1963","10","27"
"1963-12-28","1963","12","28"
"1964-05-10","1964","05","10"
"1964-05-24","1964","05","24"
"1964-06-14","1964","06","14"
"1964-06-28","1964","06","28"
"1964-07-11","1964","07","11"
"1964-08-02","1964","08","02"
"1964-08-23","1964","08","23"
"1964-09-06","1964","09","06"
"1964-10-04","1964","10","04"
"1964-10-25","1964","10","25"
"1965-01-01","1965","01","01"
"1965-05-30","1965","05","30"
"1965-06-13","1965","06","13"
"1965-06-27","1965","06","27"
"1965-07-10","1965","07","10"
"1965-07-18","1965","07","18"
"1965-08-01","1965","08","01"
"1965-09-12","1965","09","12"
"1965-10-03","1965","10","03"
"1965-10-24","1965","10","24"
"1966-05-22","1966","05","22"
"1966-06-12","1966","06","12"
"1966-07-03","1966","07","03"
"1966-07-16","1966","07","16"
"1966-07-24","1966","07","24"
"1966-08-07","1966","08","07"
"1966-09-04","1966","09","04"
"1966-10-02","1966","10","02"
"1966-10-23","1966","10","23"
"1967-01-02","1967","01","02"
"1967-05-07","1967","05","07"
"1967-06-04","1967","06","04"
"1967-06-18","1967","06","18"
"1967-07-02","1967","07","02"
"1967-07-15","1967","07","15"
"1967-08-06","1967","08","06"
"1967-08-27","1967","08","27"
"1967-09-10","1967","09","10"
"1967-10-01","1967","10","01"
"1967-10-22","1967","10","22"
"1968-01-01","1968","01","01"
"1968-05-12","1968","05","12"
"1968-05-26","1968","05","26"
"1968-06-09","1968","06","09"
"1968-06-23","1968","06","23"
"1968-07-07","1968","07","07"
"1968-07-20","1968","07","20"
"1968-08-04","1968","08","04"
"1968-09-08","1968","09","08"
"1968-09-22","1968","09","22"
"1968-10-06","1968","10","06"
"1968-11-03","1968","11","03"
"1969-03-01","1969","03","01"
"1969-05-04","1969","05","04"
"1969-05-18","1969","05","18"
"1969-06-21","1969","06","21"
"1969-07-06","1969","07","06"
"1969-07-19","1969","07","19"
"1969-08-03","1969","08","03"
"1969-09-07","1969","09","07"
"1969-09-20","1969","09","20"
"1969-10-05","1969","10","05"
"1969-10-19","1969","10","19"
"1970-03-07","1970","03","07"
"1970-04-19","1970","04","19"
"1970-05-10","1970","05","10"
"1970-06-07","1970","06","07"
"1970-06-21","1970","06","21"
"1970-07-05","1970","07","05"
"1970-07-18","1970","07","18"
"1970-08-02","1970","08","02"
"1970-08-16","1970","08","16"
"1970-09-06","1970","09","06"
"1970-09-20","1970","09","20"
"1970-10-04","1970","10","04"
"1970-10-25","1970","10","25"
"1971-03-06","1971","03","06"
"1971-04-18","1971","04","18"
"1971-05-23","1971","05","23"
"1971-06-20","1971","06","20"
"1971-07-04","1971","07","04"
"1971-07-17","1971","07","17"
"1971-08-01","1971","08","01"
"1971-08-15","1971","08","15"
"1971-09-05","1971","09","05"
"1971-09-19","1971","09","19"
"1971-10-03","1971","10","03"
"1972-01-23","1972","01","23"
"1972-03-04","1972","03","04"
"1972-05-01","1972","05","01"
"1972-05-14","1972","05","14"
"1972-06-04","1972","06","04"
"1972-07-02","1972","07","02"
"1972-07-15","1972","07","15"
"1972-07-30","1972","07","30"
"1972-08-13","1972","08","13"
"1972-09-10","1972","09","10"
"1972-09-24","1972","09","24"
"1972-10-08","1972","10","08"
"1973-01-28","1973","01","28"
"1973-02-11","1973","02","11"
"1973-03-03","1973","03","03"
"1973-04-29","1973","04","29"
"1973-05-20","1973","05","20"
"1973-06-03","1973","06","03"
"1973-06-17","1973","06","17"
"1973-07-01","1973","07","01"
"1973-07-14","1973","07","14"
"1973-07-29","1973","07","29"
"1973-08-05","1973","08","05"
"1973-08-19","1973","08","19"
"1973-09-09","1973","09","09"
"1973-09-23","1973","09","23"
"1973-10-07","1973","10","07"
"1974-01-13","1974","01","13"
"1974-01-27","1974","01","27"
"1974-03-30","1974","03","30"
"1974-04-28","1974","04","28"
"1974-05-12","1974","05","12"
"1974-05-26","1974","05","26"
"1974-06-09","1974","06","09"
"1974-06-23","1974","06","23"
"1974-07-07","1974","07","07"
"1974-07-20","1974","07","20"
"1974-08-04","1974","08","04"
"1974-08-18","1974","08","18"
"1974-09-08","1974","09","08"
"1974-09-22","1974","09","22"
"1974-10-06","1974","10","06"
"1975-01-12","1975","01","12"
"1975-01-26","1975","01","26"
"1975-03-01","1975","03","01"
"1975-04-27","1975","04","27"
"1975-05-11","1975","05","11"
"1975-05-25","1975","05","25"
"1975-06-08","1975","06","08"
"1975-06-22","1975","06","22"
"1975-07-06","1975","07","06"
"1975-07-19","1975","07","19"
"1975-08-03","1975","08","03"
"1975-08-17","1975","08","17"
"1975-09-07","1975","09","07"
"1975-10-05","1975","10","05"
"1976-01-25","1976","01","25"
"1976-03-06","1976","03","06"
"1976-03-28","1976","03","28"
"1976-05-02","1976","05","02"
"1976-05-16","1976","05","16"
"1976-05-30","1976","05","30"
"1976-06-13","1976","06","13"
"1976-07-04","1976","07","04"
"1976-07-18","1976","07","18"
"1976-08-01","1976","08","01"
"1976-08-15","1976","08","15"
"1976-08-29","1976","08","29"
"1976-09-12","1976","09","12"
"1976-10-03","1976","10","03"
"1976-10-10","1976","10","10"
"1976-10-24","1976","10","24"
"1977-01-09","1977","01","09"
"1977-01-23","1977","01","23"
"1977-03-05","1977","03","05"
"1977-04-03","1977","04","03"
"1977-05-08","1977","05","08"
"1977-05-22","1977","05","22"
"1977-06-05","1977","06","05"
"1977-06-19","1977","06","19"
"1977-07-03","1977","07","03"
"1977-07-16","1977","07","16"
"1977-07-31","1977","07","31"
"1977-08-14","1977","08","14"
"1977-08-28","1977","08","28"
"1977-09-11","1977","09","11"
"1977-10-02","1977","10","02"
"1977-10-09","1977","10","09"
"1977-10-23","1977","10","23"
"1978-01-15","1978","01","15"
"1978-01-29","1978","01","29"
"1978-03-04","1978","03","04"
"1978-04-02","1978","04","02"
"1978-05-07","1978","05","07"
"1978-05-21","1978","05","21"
"1978-06-04","1978","06","04"
"1978-06-17","1978","06","17"
"1978-07-02","1978","07","02"
"1978-07-16","1978","07","16"
"1978-07-30","1978","07","30"
"1978-08-13","1978","08","13"
"1978-08-27","1978","08","27"
"1978-09-10","1978","09","10"
"1978-10-01","1978","10","01"
"1978-10-08","1978","10","08"
"1979-01-21","1979","01","21"
"1979-02-04","1979","02","04"
"1979-03-03","1979","03","03"
"1979-04-08","1979","04","08"
"1979-04-29","1979","04","29"
"1979-05-13","1979","05","13"
"1979-05-27","1979","05","27"
"1979-07-01","1979","07","01"
"1979-07-14","1979","07","14"
"1979-07-29","1979","07","29"
"1979-08-12","1979","08","12"
"1979-08-26","1979","08","26"
"1979-09-09","1979","09","09"
"1979-09-30","1979","09","30"
"1979-10-07","1979","10","07"
"1980-01-13","1980","01","13"
"1980-01-27","1980","01","27"
"1980-03-01","1980","03","01"
"1980-03-30","1980","03","30"
"1980-05-04","1980","05","04"
"1980-05-18","1980","05","18"
"1980-06-29","1980","06","29"
"1980-07-13","1980","07","13"
"1980-08-10","1980","08","10"
"1980-08-17","1980","08","17"
"1980-08-31","1980","08","31"
"1980-09-14","1980","09","14"
"1980-09-28","1980","09","28"
"1980-10-05","1980","10","05"
"1981-03-15","1981","03","15"
"1981-03-29","1981","03","29"
"1981-04-12","1981","04","12"
"1981-05-03","1981","05","03"
"1981-05-17","1981","05","17"
"1981-05-31","1981","05","31"
"1981-06-21","1981","06","21"
"1981-07-05","1981","07","05"
"1981-07-18","1981","07","18"
"1981-08-02","1981","08","02"
"1981-08-16","1981","08","16"
"1981-08-30","1981","08","30"
"1981-09-13","1981","09","13"
"1981-09-27","1981","09","27"
"1981-10-17","1981","10","17"
"1982-01-23","1982","01","23"
"1982-03-21","1982","03","21"
"1982-04-04","1982","04","04"
"1982-04-25","1982","04","25"
"1982-05-09","1982","05","09"
"1982-05-23","1982","05","23"
"1982-06-06","1982","06","06"
"1982-06-13","1982","06","13"
"1982-07-03","1982","07","03"
"1982-07-18","1982","07","18"
"1982-07-25","1982","07","25"
"1982-08-08","1982","08","08"
"1982-08-15","1982","08","15"
"1982-08-29","1982","08","29"
"1982-09-12","1982","09","12"
"1982-09-25","1982","09","25"
"1983-03-13","1983","03","13"
"1983-03-27","1983","03","27"
"1983-04-17","1983","04","17"
"1983-05-01","1983","05","01"
"1983-05-15","1983","05","15"
"1983-05-22","1983","05","22"
"1983-06-05","1983","06","05"
"1983-06-12","1983","06","12"
"1983-07-16","1983","07","16"
"1983-08-07","1983","08","07"
"1983-08-14","1983","08","14"
"1983-08-28","1983","08","28"
"1983-09-11","1983","09","11"
"1983-09-25","1983","09","25"
"1983-10-15","1983","10","15"
"1984-03-25","1984","03","25"
"1984-04-07","1984","04","07"
"1984-04-29","1984","04","29"
"1984-05-06","1984","05","06"
"1984-05-20","1984","05","20"
"1984-06-03","1984","06","03"
"1984-06-17","1984","06","17"
"1984-06-24","1984","06","24"
"1984-07-08","1984","07","08"
"1984-07-22","1984","07","22"
"1984-08-05","1984","08","05"
"1984-08-19","1984","08","19"
"1984-08-26","1984","08","26"
"1984-09-09","1984","09","09"
"1984-10-07","1984","10","07"
"1984-10-21","1984","10","21"
"1985-04-07","1985","04","07"
"1985-04-21","1985","04","21"
"1985-05-05","1985","05","05"
"1985-05-19","1985","05","19"
"1985-06-16","1985","06","16"
"1985-06-23","1985","06","23"
"1985-07-07","1985","07","07"
"1985-07-21","1985","07","21"
"1985-08-04","1985","08","04"
"1985-08-18","1985","08","18"
"1985-08-25","1985","08","25"
"1985-09-08","1985","09","08"
"1985-09-15","1985","09","15"
"1985-10-06","1985","10","06"
"1985-10-19","1985","10","19"
"1985-11-03","1985","11","03"
"1986-03-23","1986","03","23"
"1986-04-13","1986","04","13"
"1986-04-27","1986","04","27"
"1986-05-11","1986","05","11"
"1986-05-25","1986","05","25"
"1986-06-15","1986","06","15"
"1986-06-22","1986","06","22"
"1986-07-06","1986","07","06"
"1986-07-13","1986","07","13"
"1986-07-27","1986","07","27"
"1986-08-10","1986","08","10"
"1986-08-17","1986","08","17"
"1986-09-07","1986","09","07"
"1986-09-21","1986","09","21"
"1986-10-12","1986","10","12"
"1986-10-26","1986","10","26"
"1987-04-12","1987","04","12"
"1987-05-03","1987","05","03"
"1987-05-17","1987","05","17"
"1987-05-31","1987","05","31"
"1987-06-21","1987","06","21"
"1987-07-05","1987","07","05"
"1987-07-12","1987","07","12"
"1987-07-26","1987","07","26"
"1987-08-09","1987","08","09"
"1987-08-16","1987","08","16"
"1987-09-06","1987","09","06"
"1987-09-20","1987","09","20"
"1987-09-27","1987","09","27"
"1987-10-18","1987","10","18"
"1987-11-01","1987","11","01"
"1987-11-15","1987","11","15"
"1988-04-03","1988","04","03"
"1988-05-01","1988","05","01"
"1988-05-15","1988","05","15"
"1988-05-29","1988","05","29"
"1988-06-12","1988","06","12"
"1988-06-19","1988","06","19"
"1988-07-03","1988","07","03"
"1988-07-10","1988","07","10"
"1988-07-24","1988","07","24"
"1988-08-07","1988","08","07"
"1988-08-28","1988","08","28"
"1988-09-11","1988","09","11"
"1988-09-25","1988","09","25"
"1988-10-02","1988","10","02"
"1988-10-30","1988","10","30"
"1988-11-13","1988","11","13"
"1989-03-26","1989","03","26"
"1989-04-23","1989","04","23"
"1989-05-07","1989","05","07"
"1989-05-28","1989","05","28"
"1989-06-04","1989","06","04"
"1989-06-18","1989","06","18"
"1989-07-09","1989","07","09"
"1989-07-16","1989","07","16"
"1989-07-30","1989","07","30"
"1989-08-13","1989","08","13"
"1989-08-27","1989","08","27"
"1989-09-10","1989","09","10"
"1989-09-24","1989","09","24"
"1989-10-01","1989","10","01"
"1989-10-22","1989","10","22"
"1989-11-05","1989","11","05"
"1990-03-11","1990","03","11"
"1990-03-25","1990","03","25"
"1990-05-13","1990","05","13"
"1990-05-27","1990","05","27"
"1990-06-10","1990","06","10"
"1990-06-24","1990","06","24"
"1990-07-08","1990","07","08"
"1990-07-15","1990","07","15"
"1990-07-29","1990","07","29"
"1990-08-12","1990","08","12"
"1990-08-26","1990","08","26"
"1990-09-09","1990","09","09"
"1990-09-23","1990","09","23"
"1990-09-30","1990","09","30"
"1990-10-21","1990","10","21"
"1990-11-04","1990","11","04"
"1991-03-10","1991","03","10"
"1991-03-24","1991","03","24"
"1991-04-28","1991","04","28"
"1991-05-12","1991","05","12"
"1991-06-02","1991","06","02"
"1991-06-16","1991","06","16"
"1991-07-07","1991","07","07"
"1991-07-14","1991","07","14"
"1991-07-28","1991","07","28"
"1991-08-11","1991","08","11"
"1991-08-25","1991","08","25"
"1991-09-08","1991","09","08"
"1991-09-22","1991","09","22"
"1991-09-29","1991","09","29"
"1991-10-20","1991","10","20"
"1991-11-03","1991","11","03"
"1992-03-01","1992","03","01"
"1992-03-22","1992","03","22"
"1992-04-05","1992","04","05"
"1992-05-03","1992","05","03"
"1992-05-17","1992","05","17"
"1992-05-31","1992","05","31"
"1992-06-14","1992","06","14"
"1992-07-05","1992","07","05"
"1992-07-12","1992","07","12"
"1992-07-26","1992","07","26"
"1992-08-16","1992","08","16"
"1992-08-30","1992","08","30"
